Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Condition,Selling Price,SKU,Image 1,Image 2
Trading Card Games,Pokémon Cards,Brocks Onix 69/132 Gym Heroes,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brock's Mankey - 67/132 Gym Heroes,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brock's Primeape 35/132 Gym Challenge ,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Totodile 85/105 Neo Destiny,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Croconaw 31/111 Neo Genesis,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Xatu 52/75 Neo Discovery,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Natu 59/75 Neo Discovery ,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Natu 67/11 Neo Genesis,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Pikachu 70/11 Neo Genesis NM,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Brock’s Onix Rare 21/132 - Gym Heroes - NM,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Nidoking Base Set  11/102 Holo Rare MP,,1,Buy it Now,16,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Magneton Holo Rare 9/102 Base Set NM,,1,Buy it Now,18,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Clefairy Base Set Holo Rare Card 5/102 NM,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ninetails Base Set Holo Rare Card 12/102 NM,,1,Buy it Now,25,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards, Ampharos Rare Non-Holo Expedition 34/165 LP,,1,Buy it Now,10,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Ampharos Rare Non Holo 1/147 Aquapolis,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Mareep 65/111 Neo Genesis,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Mareep 58/75 Neo Discovery,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Flaffy Neo Genesis 43/111,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sabrina’s Alakazam Holo Rare NM 16/132 - Gym Challenge ,,1,Buy it Now,75,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sabrina's Kadabra 58/132 Gym Challenge,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Sabrinas Abra 94/132 Gym Challenge,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Misty's Magikarp 88/132 Gym Challenge,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Jigglypuff 69/132 Gym Heroes,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Clefairy 25/132 - Gym Heroes,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Bulbasaur 39/132 Gym Challenge 1st Edition,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erikas Bellsprout 76/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Weepinbell - 48/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Dratini 42/132 Gym Heroes,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Oddish Gym Challenge 1st Edition 70/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Oddish Gym Challenge 78/132,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erikas Gloom 45/132 Gym Heroes,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erikas Gloom 46/132 Gym Heroes,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erikas Paras 71/132 Gym Heroes,,1,Buy it Now,1,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erikas Tangela 79/132 Gym Heroes,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Erika's Clefable 3/132 Gym Heroes Holo Rare NM,,1,Buy it Now,25,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards, Erika's Dragonair Gym Heroes 4/132 Holo LP,,1,Buy it Now,25,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Nidoking 24/147 Non-Holo Rare Aquapolis  LP,,1,Buy it Now,7,0-1 oz,Light Played,,,,
Trading Card Games,Pokémon Cards,Porygon Aquapolis 103a/147 NM,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Furret Aquapolis e-Series LP 48/147,,1,Buy it Now,20,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Tentacool e-Series 113/147 Aquapolis NM,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Totodile e-Series 134/165  Expedition Mint,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Charmander e-Series 97/165 Expedition LP,,1,Buy it Now,6,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Psyduck 2004 EX Team Magma Vs Aqua 44/95 Reverse Holo ,,1,Buy it Now,25,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Poliwag e-Series Reverse Holo 125/165 Expedition,,1,Buy it Now,10,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Togetic e-Series reverse Holo 39/147 Aquapolis NM,,1,Buy it Now,60,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Chansey e-Series 69/147 Aquapolis LP,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Chansey e-Series 72/165 Expedition,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Clefairy E reader 101/165 Expedition,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Clefable e-Series 41/165 Expedition Rare,,1,Buy it Now,5,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Abra e-Series 93/165 Expedition ,,1,Buy it Now,3,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kadabra e-Series 84/165 Expedition ,,1,Buy it Now,6,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Lapras e-Series 71/144 Skyridge,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Horsea e-Series 84/187 Mint,,1,Buy it Now,2,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Horsea e-Series Reverse Holo 85/147 Aquapolis,,1,Buy it Now,15,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Seadra e-Series 58/147 Aquapolis,,1,Buy it Now,4,0-1 oz,Near Mint,,,,
Trading Card Games,Pokémon Cards,Kingdra e-Series Rare 19/147 Aquapolis,,1,Buy it Now,8,0-1 oz,Near Mint,,,,
